Rank,Status,VP,EN,HL,AT,YD,WinRate,GamesPlayed,AvgCardsBought,P1%,P2%,P3%,P4%,P5%,P6%,P7%,P8%,P9%,P10%,P11%
170,Eliminated,0,15,6,3,4,50.0%,50,11.44,82.0%,56.0%,66.0%,50.0%,-,-,-,-,-,-,-
171,Eliminated,0,15,8,3,2,50.0%,50,11.22,72.0%,50.0%,54.0%,50.0%,-,-,-,-,-,-,-
172,Eliminated,5,0,4,2,10,50.0%,50,4.20,94.0%,56.0%,54.0%,50.0%,-,-,-,-,-,-,-
173,Eliminated,5,0,6,2,8,50.0%,50,4.50,94.0%,72.0%,62.0%,50.0%,-,-,-,-,-,-,-
174,Eliminated,5,0,6,3,8,50.0%,50,4.76,90.0%,80.0%,68.0%,50.0%,-,-,-,-,-,-,-
175,Eliminated,10,0,6,3,10,50.0%,50,4.94,96.0%,68.0%,62.0%,50.0%,-,-,-,-,-,-,-
176,Eliminated,10,5,8,2,2,50.0%,50,9.02,78.0%,54.0%,54.0%,50.0%,-,-,-,-,-,-,-
177,Eliminated,10,5,8,2,4,50.0%,50,9.32,82.0%,54.0%,56.0%,50.0%,-,-,-,-,-,-,-
178,Eliminated,10,5,8,3,6,50.0%,50,9.98,92.0%,54.0%,62.0%,50.0%,-,-,-,-,-,-,-
179,Eliminated,10,20,10,3,8,50.0%,50,12.64,84.0%,54.0%,56.0%,50.0%,-,-,-,-,-,-,-
180,Eliminated,15,0,6,2,6,50.0%,50,5.10,100.0%,54.0%,62.0%,50.0%,-,-,-,-,-,-,-
181,Eliminated,15,0,10,2,10,50.0%,50,4.46,100.0%,72.0%,64.0%,50.0%,-,-,-,-,-,-,-
182,Eliminated,15,0,10,3,6,50.0%,50,4.90,98.0%,66.0%,72.0%,50.0%,-,-,-,-,-,-,-
183,Eliminated,15,15,4,2,4,50.0%,50,14.58,90.0%,62.0%,56.0%,50.0%,-,-,-,-,-,-,-
184,Eliminated,15,15,8,2,10,50.0%,50,15.24,90.0%,52.0%,72.0%,50.0%,-,-,-,-,-,-,-
